# Created At: Thu Sep 25 2025 09:26:39 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=LDHB%2CPDHB%2CGSR%2CPDP1%2CFOXM1&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
adipose tissue,dendritic cell,2534,0.02%,PDP1,1.8394024907326212,0.16869504912208824,98
adipose tissue,dendritic cell,2534,0.01%,FOXM1,1.8274074130588107,0.16422402234759884,27
adipose tissue,conventional dendritic cell,19,0.00%,LDHB,1.5013997554779053,0.04270843025474925,1
adipose tissue,conventional dendritic cell,19,0.00%,PDHB,1.505504846572876,0.044238555585859464,4
adipose tissue,conventional dendritic cell,19,0.00%,GSR,1.4717450141906738,0.03165496766857084,1
adipose tissue,conventional dendritic cell,19,0.00%,PDP1,1.4898139635721843,0.0383899600269791,3
adipose tissue,conventional dendritic cell,19,,FOXM1,,,
adipose tissue,macrophage,55294,0.42%,LDHB,1.7951720900608787,0.1522086777097943,1889
adipose tissue,macrophage,55294,0.20%,PDHB,1.7949515010533708,0.15212645570293895,890
adipose tissue,macrophage,55294,0.43%,GSR,1.7972249221202905,0.1529738471693635,1911
adipose tissue,macrophage,55294,0.16%,PDP1,1.779419820996234,0.14633720120399732,697
adipose tissue,macrophage,55294,0.08%,FOXM1,1.7457287667811603,0.1337792495547758,348
adipose tissue,muscle cell,7823,0.13%,LDHB,1.8032273179049179,0.1552111709278203,563
adipose tissue,muscle cell,7823,0.04%,PDHB,1.7886434373908868,0.1497751977705516,179
adipose tissue,muscle cell,7823,0.04%,GSR,1.8376656778203617,0.16804767215262137,159
adipose tissue,muscle cell,7823,0.02%,PDP1,1.759689658028739,0.13898301065254198,70
adipose tissue,muscle cell,7823,0.00%,FOXM1,1.8487269752903988,0.1721706431323847,19
adipose tissue,smooth muscle cell,7560,0.12%,LDHB,1.8044735959441183,0.1556757066843406,543
adipose tissue,smooth muscle cell,7560,0.03%,PDHB,1.8251493181501115,0.16338234352978045,140
adipose tissue,smooth muscle cell,7560,0.03%,GSR,1.848976847330729,0.17226378005178558,150
adipose tissue,smooth muscle cell,7560,0.01%,PDP1,1.7725729871152052,0.14378512289029047,67
adipose tissue,smooth muscle cell,7560,0.00%,FOXM1,1.8487269752903988,0.1721706431323847,19
adipose tissue,adipocyte,72587,0.98%,LDHB,1.7253488197197056,0.12618285948108862,4415
adipose tissue,adipocyte,72587,0.16%,PDHB,1.6928890652126736,0.11408386058830446,720
adipose tissue,adipocyte,72587,0.26%,GSR,1.7270099508351293,0.12680202693418588,1160
adipose tissue,adipocyte,72587,0.07%,PDP1,1.7618026974073344,0.13977062169551824,317
adipose tissue,adipocyte,72587,0.08%,FOXM1,1.6948933346170774,0.11483092887865363,355
adipose tissue,subcutaneous adipocyte,12205,0.12%,LDHB,1.6554855520734315,0.10014213271849294,526
adipose tissue,subcutaneous adipocyte,12205,0.01%,PDHB,1.577821211381392,0.07119364600587064,66
adipose tissue,subcutaneous adipocyte,12205,0.02%,GSR,1.6399366590711806,0.0943464622929049,81
adipose tissue,subcutaneous adipocyte,12205,0.00%,PDP1,1.616014389764695,0.08542971248232481,21
adipose tissue,subcutaneous adipocyte,12205,0.01%,FOXM1,1.5849745008680556,0.07385995210994659,45
adipose tissue,adipocyte of omentum tissue,15436,0.23%,LDHB,1.7178872257558997,0.12340163644112587,1017
adipose tissue,adipocyte of omentum tissue,15436,0.03%,PDHB,1.6661742386544587,0.10412621728946986,157
adipose tissue,adipocyte of omentum tissue,15436,0.06%,GSR,1.6771928267045455,0.10823326882583205,275
adipose tissue,adipocyte of omentum tissue,15436,0.01%,PDP1,1.6965072986691496,0.1154325153532151,43
adipose tissue,adipocyte of omentum tissue,15436,0.03%,FOXM1,1.6746308142397583,0.10727830824632294,119
adipose tissue,pericyte,7345,0.19%,LDHB,1.9586401885410525,0.21313952492518806,848
adipose tissue,pericyte,7345,0.05%,PDHB,1.9237024185505318,0.200116874358312,235
adipose tissue,pericyte,7345,0.04%,GSR,1.9287059550382653,0.20198188484112317,196
adipose tissue,pericyte,7345,0.03%,PDP1,1.9275899087229083,0.20156589145673467,124
adipose tissue,pericyte,7345,0.01%,FOXM1,1.920333251953125,0.19886105639077936,25
adipose tissue,myofibroblast cell,1066,0.02%,LDHB,1.6074611118861608,0.08224157686165516,112
adipose tissue,myofibroblast cell,1066,0.00%,PDHB,1.6109285354614258,0.08353401898375612,16
adipose tissue,myofibroblast cell,1066,,GSR,,,
adipose tissue,myofibroblast cell,1066,0.00%,PDP1,1.6665152311325073,0.1042533183004607,1
adipose tissue,myofibroblast cell,1066,0.00%,FOXM1,1.481913685798645,0.03544522265954054,1
adipose tissue,leukocyte,118505,2.76%,LDHB,1.8450432535117463,0.17079757835114656,12387
adipose tissue,leukocyte,118505,0.50%,PDHB,1.7639417951272371,0.14056794568449216,2235
adipose tissue,leukocyte,118505,0.88%,GSR,1.821677729914679,0.162088349078664,3941
adipose tissue,leukocyte,118505,0.36%,PDP1,1.757085490109298,0.13801233711380304,1624
adipose tissue,leukocyte,118505,0.13%,FOXM1,1.7861658044763513,0.148851688694622,592
adipose tissue,lymphocyte,50559,2.22%,LDHB,1.8500928547687137,0.1726797589450822,9966
adipose tissue,lymphocyte,50559,0.25%,PDHB,1.7293244916259547,0.12766474530315672,1113
adipose tissue,lymphocyte,50559,0.29%,GSR,1.8773806959957224,0.18285098684887072,1315
adipose tissue,lymphocyte,50559,0.15%,PDP1,1.7054208813796397,0.1187549504419215,687
adipose tissue,lymphocyte,50559,0.04%,FOXM1,1.8513688520951705,0.1731553722229538,165
adipose tissue,plasma cell,319,0.02%,LDHB,1.676419184758113,0.10794490271846449,78
adipose tissue,plasma cell,319,,PDHB,,,
adipose tissue,plasma cell,319,0.00%,GSR,1.5462543964385986,0.059427480030744696,2
adipose tissue,plasma cell,319,,PDP1,,,
adipose tissue,plasma cell,319,0.00%,FOXM1,1.6491998434066772,0.09779920735277743,2
adipose tissue,naive B cell,15,0.00%,LDHB,1.5189135074615479,0.04923647919032216,2
adipose tissue,naive B cell,15,0.00%,PDHB,1.656059741973877,0.10035615537748231,4
adipose tissue,naive B cell,15,0.00%,GSR,1.5794075727462769,0.07178494389732999,1
adipose tissue,naive B cell,15,0.00%,PDP1,1.627701759338379,0.08978604461357759,2
adipose tissue,naive B cell,15,,FOXM1,,,
adipose tissue,class switched memory B cell,16,0.00%,LDHB,1.5772754124232702,0.07099020574298852,7
adipose tissue,class switched memory B cell,16,0.00%,PDHB,1.5726170539855957,0.0692538563948317,2
adipose tissue,class switched memory B cell,16,0.00%,GSR,1.6295782327651978,0.09048547842810326,1
adipose tissue,class switched memory B cell,16,,PDP1,,,
adipose tissue,class switched memory B cell,16,,FOXM1,,,
adipose tissue,unswitched memory B cell,109,0.01%,LDHB,1.7406606868821748,0.13189018126027952,49
adipose tissue,unswitched memory B cell,109,0.00%,PDHB,1.535282850265503,0.05533796281114718,8
adipose tissue,unswitched memory B cell,109,0.00%,GSR,1.568493366241455,0.06771679937735683,6
adipose tissue,unswitched memory B cell,109,0.00%,PDP1,1.4858689308166504,0.036919494594750954,1
adipose tissue,unswitched memory B cell,109,,FOXM1,,,
adipose tissue,B cell,16003,0.31%,LDHB,1.6432079623747315,0.09556580284703786,1397
adipose tissue,B cell,16003,0.05%,PDHB,1.5770045100031673,0.07088922999222716,222
