# Created At: Thu Sep 25 2025 08:53:49 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=CPT1A%2CCPT2%2CSLC25A20%2CACADM%2CACADL%2CHADH%2CHADHA%2CHADHB%2CACAA2%2CPPARA%2CCD36%2CACOX1&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
adipose tissue,mature B cell,140,0.00%,PPARA,1.5215020179748535,0.032928950359296875,1
adipose tissue,mature B cell,140,,CD36,,,
adipose tissue,mature B cell,140,0.00%,ACOX1,1.5643169403076171,0.043362033994313695,5
adipose tissue,memory B cell,125,0.00%,CPT1A,1.703737803867885,0.07733592558952126,14
adipose tissue,memory B cell,125,,CPT2,,,
adipose tissue,memory B cell,125,0.00%,SLC25A20,1.5560973485310872,0.04135909474374754,6
adipose tissue,memory B cell,125,0.00%,ACADM,1.5366039276123047,0.03660896372172739,13
adipose tissue,memory B cell,125,,ACADL,,,
adipose tissue,memory B cell,125,0.00%,HADH,1.539437484741211,0.037299441174441436,15
adipose tissue,memory B cell,125,0.01%,HADHA,1.6229801667042267,0.05765701139819419,39
adipose tissue,memory B cell,125,0.00%,HADHB,1.5314826965332031,0.03536102890714926,12
adipose tissue,memory B cell,125,0.00%,ACAA2,1.5532208492881374,0.040658153213490644,19
adipose tissue,memory B cell,125,0.00%,PPARA,1.5215020179748535,0.032928950359296875,1
adipose tissue,memory B cell,125,,CD36,,,
adipose tissue,memory B cell,125,0.00%,ACOX1,1.5643169403076171,0.043362033994313695,5
adipose tissue,alpha-beta T cell,20182,0.25%,CPT1A,1.8332075639204546,0.10888494544609492,1144
adipose tissue,alpha-beta T cell,20182,0.02%,CPT2,1.7130051445715206,0.07959417891259779,97
adipose tissue,alpha-beta T cell,20182,0.10%,SLC25A20,1.7902145055465368,0.09840845385622238,462
adipose tissue,alpha-beta T cell,20182,0.14%,ACADM,1.735499478318404,0.08507556840272011,614
