# Created At: Thu Sep 25 2025 08:13:56 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=CTLA4%2CPDCD1%2CHAVCR2%2CLAG3%2CTOX&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
adipose tissue,non-classical monocyte,24,0.00%,HAVCR2,1.531510591506958,0.04938563301153702,1
adipose tissue,non-classical monocyte,24,,LAG3,,,
adipose tissue,non-classical monocyte,24,,TOX,,,
adipose tissue,intermediate monocyte,43,,CTLA4,,,
adipose tissue,intermediate monocyte,43,,PDCD1,,,
adipose tissue,intermediate monocyte,43,0.00%,HAVCR2,1.6087342500686646,0.07566168768869212,1
adipose tissue,intermediate monocyte,43,,LAG3,,,
adipose tissue,intermediate monocyte,43,,TOX,,,
adipose tissue,classical monocyte,28,,CTLA4,,,
adipose tissue,classical monocyte,28,,PDCD1,,,
adipose tissue,classical monocyte,28,0.00%,HAVCR2,1.768800139427185,0.1301255675289766,1
adipose tissue,classical monocyte,28,,LAG3,,,
adipose tissue,classical monocyte,28,,TOX,,,
adipose tissue,dendritic cell,2534,0.01%,CTLA4,1.8522124290466309,0.1585073604096637,64
adipose tissue,dendritic cell,2534,0.00%,PDCD1,1.5766849517822266,0.06475662141983639,2
adipose tissue,dendritic cell,2534,0.10%,HAVCR2,1.9856425669001436,0.203908182685103,435
adipose tissue,dendritic cell,2534,0.00%,LAG3,1.6372060775756836,0.08534948687182924,1
adipose tissue,dendritic cell,2534,0.09%,TOX,2.3094587599951044,0.31408959798689795,383
adipose tissue,conventional dendritic cell,19,0.00%,CTLA4,1.6167935132980347,0.0784039255626372,2
adipose tissue,conventional dendritic cell,19,,PDCD1,,,
adipose tissue,conventional dendritic cell,19,0.00%,HAVCR2,1.7669647534688313,0.1295010607043375,3
adipose tissue,conventional dendritic cell,19,,LAG3,,,
adipose tissue,conventional dendritic cell,19,,TOX,,,
adipose tissue,macrophage,55294,0.03%,CTLA4,1.7909543621006296,0.13766374400415804,134
adipose tissue,macrophage,55294,0.01%,PDCD1,1.7987703595842635,0.14032320848773158,42
adipose tissue,macrophage,55294,1.55%,HAVCR2,1.8197940484120698,0.1474767105030954,6943
adipose tissue,macrophage,55294,0.02%,LAG3,1.6559867858886719,0.09173979429443675,74
adipose tissue,macrophage,55294,0.25%,TOX,1.8856279606193438,0.16987730002433774,1105
adipose tissue,muscle cell,7823,0.00%,CTLA4,1.6699615478515626,0.09649483460560934,5
adipose tissue,muscle cell,7823,0.00%,PDCD1,2.264688730239868,0.2988561867285276,1
adipose tissue,muscle cell,7823,0.03%,HAVCR2,1.8824102414534396,0.16878244170871587,149
adipose tissue,muscle cell,7823,0.00%,LAG3,1.6307111467633928,0.08313952738108944,7
adipose tissue,muscle cell,7823,0.13%,TOX,2.1344426954469666,0.2545387845820565,581
adipose tissue,smooth muscle cell,7560,0.00%,CTLA4,1.6699615478515626,0.09649483460560934,5
adipose tissue,smooth muscle cell,7560,0.00%,PDCD1,2.264688730239868,0.2988561867285276,1
adipose tissue,smooth muscle cell,7560,0.03%,HAVCR2,1.8824102414534396,0.16878244170871587,149
adipose tissue,smooth muscle cell,7560,0.00%,LAG3,1.6503483454386394,0.08982126346698896,6
adipose tissue,smooth muscle cell,7560,0.13%,TOX,2.1344426954469666,0.2545387845820565,581
adipose tissue,adipocyte,72587,0.00%,CTLA4,1.6675590515136718,0.09567736329808718,10
adipose tissue,adipocyte,72587,0.00%,PDCD1,1.605358600616455,0.07451309215166134,8
adipose tissue,adipocyte,72587,0.31%,HAVCR2,1.7005010190217391,0.10688616841735496,1380
adipose tissue,adipocyte,72587,0.00%,LAG3,1.6925373077392578,0.10417644296548004,15
adipose tissue,adipocyte,72587,0.17%,TOX,1.8622708510340682,0.16192983029817093,754
adipose tissue,subcutaneous adipocyte,12205,0.00%,CTLA4,1.6970917383829753,0.10572612956213366,3
adipose tissue,subcutaneous adipocyte,12205,0.00%,PDCD1,1.4414564371109009,0.018743885017624414,1
adipose tissue,subcutaneous adipocyte,12205,0.05%,HAVCR2,1.625559820130814,0.08138674147611488,215
adipose tissue,subcutaneous adipocyte,12205,0.00%,LAG3,1.4645447731018066,0.026599902075101687,1
adipose tissue,subcutaneous adipocyte,12205,0.02%,TOX,1.7686812571990185,0.1300851167657568,78
adipose tissue,adipocyte of omentum tissue,15436,0.00%,CTLA4,1.6168146133422852,0.07841110504528205,2
adipose tissue,adipocyte of omentum tissue,15436,0.00%,PDCD1,1.627213478088379,0.08194941368978072,3
adipose tissue,adipocyte of omentum tissue,15436,0.05%,HAVCR2,1.694700708929098,0.10491255996655995,212
adipose tissue,adipocyte of omentum tissue,15436,0.00%,LAG3,1.6416637420654296,0.08686624790137028,5
adipose tissue,adipocyte of omentum tissue,15436,0.03%,TOX,1.8784534848969558,0.16743611917545642,116
adipose tissue,pericyte,7345,0.00%,CTLA4,1.9542468786239624,0.19322551318799977,4
adipose tissue,pericyte,7345,,PDCD1,,,
